region;cntr_name;excess_cold;excess_heat;af_cold;af_heat;rate_cold;rate_heat;stdrate_cold;stdrate_heat
Northern;Denmark;1,319 (1,080 - 1,537);44 (24 - 61);8.64 (7.08 - 10.08);0.29 (0.16 - 0.40);144 (118 - 168);5 (3 - 7);165 (134 - 193);6 (3 - 8)
Northern;Estonia;727 (495 - 954);29 (11 - 46);8.49 (5.78 - 11.14);0.34 (0.12 - 0.53);165 (112 - 217);7 (2 - 10);177 (120 - 232);7 (3 - 11)
Northern;Finland;2,231 (1,548 - 2,821);69 (26 - 108);9.28 (6.44 - 11.74);0.29 (0.11 - 0.45);153 (106 - 193);5 (2 - 7);165 (115 - 209);5 (2 - 8)
Northern;Ireland;1,664 (1,442 - 1,866);10 (1 - 18);12.71 (11.00 - 14.24);0.08 (0.01 - 0.14);153 (132 - 171);1 (0 - 2);227 (196 - 255);1 (0 - 3)
Northern;Latvia;2,095 (1,322 - 2,855);126 (-17 - 251);9.72 (6.14 - 13.25);0.59 (-0.08 - 1.16);240 (151 - 327);14 (-2 - 29);243 (154 - 331);15 (-2 - 29)
Northern;Lithuania;2,301 (1,431 - 3,178);141 (-33 - 289);9.39 (5.84 - 12.96);0.58 (-0.13 - 1.18);223 (138 - 307);14 (-3 - 28);233 (145 - 322);14 (-3 - 29)
Northern;Norway;1,085 (794 - 1,356);28 (10 - 42);9.89 (7.24 - 12.36);0.25 (0.09 - 0.38);131 (96 - 163);3 (1 - 5);167 (123 - 209);4 (2 - 6)
Northern;Sweden;4,168 (3,297 - 4,909);134 (83 - 181);8.92 (7.06 - 10.51);0.29 (0.18 - 0.39);148 (117 - 175);5 (3 - 6);153 (121 - 181);5 (3 - 7)
Northern;United Kingdom;42,915 (37,396 - 47,920);762 (530 - 975);9.87 (8.60 - 11.03);0.18 (0.12 - 0.22);162 (141 - 181);3 (2 - 4);183 (159 - 204);3 (2 - 4)
Northern;Total;58,505 (51,237 - 65,142);1,343 (880 - 1,763);9.76 (8.55 - 10.87);0.22 (0.15 - 0.29);163 (142 - 181);4 (2 - 5);183 (160 - 204);4 (3 - 6)
